segment_id,point_id,event,spray_on,u,v,x,y,z,note
4,11,SURFACE_SCAN,1,-151.730623799,18.5744065474,28.327212417,-26.0879675364,-3.20362857267,central bow scan
4,12,SURFACE_SCAN,1,-155.967325004,12.3922261986,28.1678797839,-27.1450531877,4.30984573768,central bow scan
4,13,SURFACE_SCAN,1,-160.204026209,6.21004584985,27.9561993403,-28.107699722,11.8364186977,central bow scan
4,14,SURFACE_SCAN,1,-164.440727414,0.0278655010518,27.6506366605,-28.9760673369,19.340494969,central bow scan
4,15,SURFACE_SCAN,1,-168.677428619,-6.15431484775,27.3966289928,-29.8971746351,26.8407636469,central bow scan
4,16,SURFACE_SCAN,1,-172.914129824,-12.3364951965,27.1377160981,-30.8399543076,34.3163952034,central bow scan
4,17,SURFACE_SCAN,1,-177.150831029,-18.5186755453,26.8745951791,-31.781095507,41.7312761065,central bow scan
4,18,SURFACE_SCAN,1,-181.387532234,-24.7008558941,26.608521313,-32.7323577196,49.1264597079,central bow scan
4,19,SURFACE_SCAN,1,-185.624233439,-30.8830362429,26.3920315279,-33.7672832656,56.442168797,central bow scan
4,20,SURFACE_SCAN,1,-189.860934643,-37.0652165917,26.3109309979,-35.0117840067,63.5713913795,central bow scan
4,21,SURFACE_SCAN,1,-194.097635848,-43.2473969405,26.2298304678,-36.2562847477,70.7006139619,central bow scan
4,22,SURFACE_SCAN,1,-198.334337053,-49.4295772893,26.1988486364,-37.3286816988,77.5688711964,central bow scan
4,23,SURFACE_SCAN,1,-202.571038258,-55.6117576381,26.1929118925,-38.3864165878,84.4430759916,central bow scan
4,24,SURFACE_SCAN,1,-206.807739463,-61.7939379869,26.3361880985,-39.1529782591,91.1055417837,central bow scan
4,25,SURFACE_SCAN,1,-211.044440668,-67.9761183357,26.3900569816,-40.0176688747,97.31529,central bow scan
4,26,SURFACE_SCAN,1,-215.281141873,-74.1582986845,31.6099561713,-39.815980762,97.31529,central bow scan
5,0,OVERTRAVEL,0,,,31.6099561713,-39.815980762,97.31529,3D-only opening connector
5,1,OVERTRAVEL,0,,,91.565218674,-37.4994104025,97.31529,3D-only opening connector
5,2,OVERTRAVEL,0,,,-34.7598849652,-74.2425370014,97.31529,3D-only opening connector
5,3,OVERTRAVEL,0,,,0.803664901729,-25.918278902,97.31529,3D-only opening connector
6,0,SURFACE_SCAN,1,-187.476454443,-86.5859875012,0.803664901729,-25.918278902,97.31529,central bow scan
6,1,SURFACE_SCAN,1,-183.248673416,-80.4168234462,5.71720322021,-19.2416930501,97.31529,central bow scan
6,2,SURFACE_SCAN,1,-179.020892389,-74.2476593912,9.93315065342,-13.4766494685,95.4992314617,central bow scan
6,3,SURFACE_SCAN,1,-174.793111362,-68.0784953362,9.75327634422,-12.5544726693,87.3677302618,central bow scan
6,4,SURFACE_SCAN,1,-170.565330334,-61.9093312812,9.57589453489,-11.6152618472,79.2580471051,central bow scan
6,5,SURFACE_SCAN,1,-166.337549307,-55.7401672262,9.4603223545,-10.8201807299,71.2463893522,central bow scan
6,6,SURFACE_SCAN,1,-162.10976828,-49.5710031712,9.38291967879,-10.170114115,63.2514673506,central bow scan
6,7,SURFACE_SCAN,1,-157.881987253,-43.4018391162,9.30551700308,-9.52004750001,55.2565453491,central bow scan
6,8,SURFACE_SCAN,1,-153.654206226,-37.2326750612,9.13883154427,-8.89227827383,47.4322062633,central bow scan
6,9,SURFACE_SCAN,1,-149.426425199,-31.0635110062,8.96102305205,-8.2694361646,39.6248222064,central bow scan
6,10,SURFACE_SCAN,1,-145.198644171,-24.8943469512,8.70507082418,-7.72361864519,31.8394351275,central bow scan
6,11,SURFACE_SCAN,1,-140.970863144,-18.7251828962,8.45205164486,-7.14870731063,24.1549605605,central bow scan
6,12,SURFACE_SCAN,1,-136.743082117,-12.5560188412,8.13369046923,-6.66309149725,16.4937457132,central bow scan
6,13,SURFACE_SCAN,1,-132.51530109,-6.38685478624,7.81417334588,-6.18289771754,8.83715019539,central bow scan
6,14,SURFACE_SCAN,1,-128.287520063,-0.217690731243,7.4934177571,-5.69354578858,1.17562275536,central bow scan
6,15,SURFACE_SCAN,1,-124.059739035,5.95147332376,7.10394477341,-5.34049158997,-6.51811351393,central bow scan
6,16,SURFACE_SCAN,1,-119.831958008,12.1206373788,6.69504489506,-5.04374144512,-14.2595937585,central bow scan
6,17,SURFACE_SCAN,1,-115.604176981,18.2898014338,6.27665335186,-4.78667022474,-22.0812808408,central bow scan
6,18,SURFACE_SCAN,1,-111.376395954,24.4589654888,5.81301262865,-4.6644094153,-29.986377331,central bow scan
6,19,SURFACE_SCAN,1,-107.148614927,30.6281295438,5.33350188309,-4.63105973556,-38.0389426595,central bow scan
6,20,SURFACE_SCAN,1,-102.920833899,36.7972935988,4.81585588907,-4.74704430667,-46.2392409019,central bow scan
6,21,SURFACE_SCAN,1,-98.6930528722,42.9664576537,4.26212703929,-5.02985019634,-54.5926019203,central bow scan
6,22,SURFACE_SCAN,1,-94.465271845,49.1356217087,3.62281032153,-5.46215377207,-63.1392267519,central bow scan
6,23,SURFACE_SCAN,1,-90.2374908178,55.3047857637,2.73862699681,-5.94522023263,-72.020268925,central bow scan
6,24,SURFACE_SCAN,1,-86.0097097906,61.4739498187,1.08004601605,-13.4398033302,-74.28471,central bow scan
6,25,SURFACE_SCAN,1,-81.7819287634,67.6431138737,-0.315017250672,-22.0341522613,-74.28471,central bow scan
6,26,SURFACE_SCAN,1,-77.5541477362,73.8122779287,-2.99764286695,-30,-74.28471,central bow scan
7,0,OVERTRAVEL,0,,,-2.99764286695,-30,-74.28471,3D-only opening connector
7,1,OVERTRAVEL,0,,,-22.1468816403,-86.8621724383,-74.28471,3D-only opening connector
7,2,OVERTRAVEL,0,,,-55.9665853645,-86.0639913959,-74.28471,3D-only opening connector
7,3,OVERTRAVEL,0,,,-34.5930300037,-30,-74.28471,3D-only opening connector
8,0,SURFACE_SCAN,1,-49.981384928,61.0461654733,-34.5930300037,-30,-74.28471,central bow scan
8,1,SURFACE_SCAN,1,-54.1953943616,54.8970968819,-31.5436644127,-22.0013491733,-74.28471,central bow scan
8,2,SURFACE_SCAN,1,-58.4094037952,48.7480282906,-28.2438936266,-15.5600925777,-72.1267933649,central bow scan
8,3,SURFACE_SCAN,1,-62.6234132289,42.5989596992,-26.9884267219,-14.2369256503,-65.6816566659,central bow scan
8,4,SURFACE_SCAN,1,-66.8374226625,36.4498911079,-25.6649584816,-12.8189932942,-59.1667278436,central bow scan
8,5,SURFACE_SCAN,1,-71.0514320961,30.3008225165,-24.2992847997,-11.2961129453,-52.3592489155,central bow scan
8,6,SURFACE_SCAN,1,-75.2654415298,24.1517539252,-23.774226261,-10.3457703477,-45.0606609785,central bow scan
8,7,SURFACE_SCAN,1,-79.4794509634,18.0026853338,-23.2699296415,-9.41626023819,-37.9884277317,central bow scan
8,8,SURFACE_SCAN,1,-83.693460397,11.8536167425,-22.765633022,-8.48675012867,-30.916194485,central bow scan
8,9,SURFACE_SCAN,1,-87.9074698307,5.70454815114,-22.3814016778,-7.69250641356,-23.6011672932,central bow scan
8,10,SURFACE_SCAN,1,-92.1214792643,-0.444520440208,-22.0057574792,-6.9236207028,-16.2267378265,central bow scan
8,11,SURFACE_SCAN,1,-96.3354886979,-6.59358903156,-21.5998805513,-6.2349596351,-8.81437379949,central bow scan
8,12,SURFACE_SCAN,1,-100.549498132,-12.7426576229,-21.1906312592,-5.56923403221,-1.40518963974,central bow scan
8,13,SURFACE_SCAN,1,-104.763507565,-18.8917262142,-20.6783494686,-4.93518423281,6.04378634216,central bow scan
8,14,SURFACE_SCAN,1,-108.977516999,-25.0407948056,-20.1502922416,-4.23344945433,13.4524154815,central bow scan
8,15,SURFACE_SCAN,1,-113.191526432,-31.1898633969,-19.5856382769,-3.508291992,20.8659460824,central bow scan
8,16,SURFACE_SCAN,1,-117.405535866,-37.3389319883,-18.997156497,-2.74378044896,28.2789043672,central bow scan
8,17,SURFACE_SCAN,1,-121.6195453,-43.4880005796,-18.3400565326,-2.03615792729,35.6914110608,central bow scan
8,18,SURFACE_SCAN,1,-125.833554733,-49.637069171,-17.5993066633,-1.38424961095,43.1452123366,central bow scan
8,19,SURFACE_SCAN,1,-130.047564167,-55.7861377623,-16.8614187983,-0.70494295738,50.5788383111,central bow scan
8,20,SURFACE_SCAN,1,-134.261573601,-61.9352063537,-16.4547682939,-0.087619943009,57.9445159611,central bow scan
8,21,SURFACE_SCAN,1,-138.475583034,-68.084274945,-16.4138546059,0.388942163189,65.2858825353,central bow scan
8,22,SURFACE_SCAN,1,-142.689592468,-74.2333435364,-16.3453904272,0.852879808492,72.6631831011,central bow scan
