vertex_index,u,v,x,y,z
0,932.8277679806154,330.1049497547327,458.62066650390625,373.9222412109375,840.7100219726562
1,933.0913826155457,292.3233383520243,495.181884765625,364.6195373535156,841.9068603515625
2,950.6134368968171,286.37650467852677,503.2131652832031,361.58148193359375,859.069091796875
3,937.0551069323291,223.70033237939634,549.7401733398438,328.4132995605469,846.92333984375
4,936.3801539516361,213.68530337175375,554.0210571289062,319.6972961425781,847.7491455078125
5,958.1916193038279,207.08041852926462,566.757080078125,319.86431884765625,865.9910888671875
6,934.03075493692,193.97750300025334,560.9176635742188,301.8307189941406,848.8873291015625
7,931.3063443547239,173.97860731105456,565.9822998046875,282.9500732421875,850.1785278320312
8,956.9714114123265,166.92278171397248,579.2985229492188,282.6310119628906,872.1526489257812
9,888.6836725119747,166.21048558712326,553.1328125,266.854736328125,815.6156616210938
10,901.6414511025605,161.94462815683926,558.1864013671875,265.43157958984375,827.4902954101562
11,906.3675353043915,182.23474871312578,554.106689453125,284.9083557128906,827.9713745117188
12,884.4488708317815,282.8415836003324,498.9490661621094,362.59979248046875,795.2184448242188
13,873.7747227992378,286.0613865221477,495.4350891113281,363.90509033203125,784.8070678710938
14,873.6583800974801,281.5649299828919,498.8097839355469,361.0979309082031,785.101806640625
15,923.8960281765978,295.4042139770369,491.20245361328125,366.3958435058594,832.8955688476562
16,875.283492212497,326.89174852613655,460.1119384765625,383.6439514160156,782.873291015625
17,874.6156882843242,310.68788777725854,474.6528625488281,376.4282531738281,783.603759765625
18,894.9483594335761,304.8187492082544,480.31085205078125,372.36309814453125,804.1755981445312
19,777.9031905759472,254.99641399085743,511.5985412597656,328.7583312988281,700.1944580078125
20,775.6855242498318,245.8340793433063,515.470947265625,320.5536804199219,699.9841918945312
21,791.6950755770968,246.7516730018785,513.9580688476562,323.3570251464844,714.4595947265625
22,808.1049314554293,-67.83988734807073,434.16595458984375,79.53884887695312,806.1702880859375
23,811.5144059075092,-48.62349947200511,451.6851501464844,86.97900390625,804.0466918945312
24,783.5323879538196,-43.03457957039288,449.1533508300781,87.00118255615234,775.7562866210938
25,785.126021528618,-32.965574655094755,457.6089782714844,91.83395385742188,774.534912109375
26,699.233244991016,-0.26454562622761657,463.9759521484375,100.91256713867188,684.800048828125
27,696.4489594136352,-11.679711586782714,455.26226806640625,94.1767578125,684.7999877929688
28,713.5421964577181,-25.302995870889184,447.42462158203125,89.9842529296875,704.330810546875
29,887.0570419381878,-10.066730300642858,502.8311767578125,117.65130615234375,863.1043090820312
30,889.5986350460364,0.20891243412990784,510.8260498046875,124.58582305908203,862.038330078125
31,872.2428828951008,4.182397150972436,508.15863037109375,124.43594360351562,844.9122314453125
32,836.7100817141095,55.73244332345797,524.6362915039062,158.87161254882812,797.2772216796875
33,842.734799055216,73.43236121148477,533.7257690429688,174.32847595214844,797.54248046875
34,814.9987116462185,81.68334643460904,528.5553588867188,177.58473205566406,770.762939453125
35,913.2962090447243,85.38471086755808,561.3080444335938,195.74278259277344,855.8714599609375
36,915.7403087554901,94.95938846971286,564.4607543945312,204.99693298339844,855.236083984375
37,885.1227722514843,102.84303505240914,555.3634643554688,206.8791961669922,826.5073852539062
38,719.1168388585528,79.3371851027248,511.9447326660156,160.58367919921875,684.800048828125
39,713.4172499649748,56.64599587852676,500.8170166015625,141.5850067138672,684.7999877929688
40,732.8751905273373,60.17921986121418,504.157470703125,147.9753875732422,701.8617553710938
41,1101.4989703519868,-176.0033388960813,393.4456787109375,200.4399871826172,1084.8995361328125
42,1091.7523848784979,-218.75498910539488,345.3144836425781,200.76878356933594,1083.5928955078125
43,1115.1583572048073,-223.43982772549592,345.31024169921875,214.85877990722656,1102.986083984375
44,1040.8065338426754,-164.60232377164166,391.45733642578125,163.3511199951172,1035.3673095703125
45,1006.9034210697315,-201.77937462053845,345.330322265625,147.88243103027344,1014.7286987304688
46,1064.7437915761745,-213.34810580066767,345.31939697265625,184.33084106445312,1061.4766845703125
47,1192.0515019517181,17.47248570329195,617.6390380859375,204.25106811523438,1130.1728515625
48,1192.129941933328,18.979880264147145,618.9497680664062,204.85263061523438,1129.7301025390625
49,1186.8651682356094,20.053525605648396,619.0759887695312,202.9942169189453,1124.6712646484375
50,1174.6978447078964,33.11674913262388,626.1184692382812,206.98727416992188,1108.3663330078125
51,1175.1260372338836,30.283241512083976,624.5634765625,204.89349365234375,1109.9276123046875
52,1186.5231459828503,28.881294444861215,625.59326171875,208.00648498535156,1120.955810546875
53,1156.338935314141,7.374537443097931,600.6004028320312,187.3681182861328,1101.7227783203125
54,1156.704374478868,10.074648229325302,603.366943359375,188.21974182128906,1101.0770263671875
55,1150.1507979602457,10.618181727398747,602.2501220703125,186.27389526367188,1094.912353515625
56,1134.267686903951,38.59428928106082,618.6785888671875,200.36663818359375,1068.8291015625
57,1148.5499114156896,37.89146709766822,622.3449096679688,203.40667724609375,1082.2620849609375
58,1145.5831397018358,48.604049449277326,625.640869140625,212.75811767578125,1075.3817138671875
59,1112.725711521623,-24.667292939788354,556.2111206054688,172.19615173339844,1071.3685302734375
60,1106.372478680677,-44.95581699737555,533.2647094726562,174.61483764648438,1069.3592529296875
61,1121.187606085391,-46.520925961166526,535.4461059570312,181.33656311035156,1082.2890625
62,1142.6072978924199,5.671210451755265,595.462158203125,182.36143493652344,1089.90283203125
63,1135.4680338618818,6.04833541092837,593.9962768554688,180.2269744873047,1083.2642822265625
64,1134.5916184465466,0.6408187791138547,588.3418579101562,178.58895874023438,1084.4281005859375
65,1149.6460621397564,32.47571077352988,619.723876953125,199.03939819335938,1085.477294921875
66,1121.0408498940535,22.99250100665019,604.8938598632812,184.79322814941406,1063.155029296875
67,1121.0886568773756,17.54427854696102,600.557861328125,181.38580322265625,1065.485107421875
68,1136.4012242767922,16.951504232787457,604.3723754882812,185.10263061523438,1079.782958984375
69,1113.6997947452278,59.69001506730879,621.1771850585938,215.48179626464844,1041.931396484375
70,1108.2700737127109,80.3240043374258,627.5491333007812,234.07749938964844,1029.0555419921875
71,1078.3708095380666,79.67097414475678,618.4409790039062,226.3160400390625,1002.323486328125
72,927.7436245932394,-185.85763284537558,345.3434753417969,103.93340301513672,946.1785888671875
73,957.8277194083571,-191.93025280389773,345.3388977050781,119.23384857177734,973.166015625
74,966.6339665963262,-151.55881156526877,388.4833068847656,120.10368347167969,973.3307495117188
75,985.7464260100799,-154.87492143611306,389.2839050292969,130.47181701660156,989.8464965820312
76,1004.6413568919734,-158.20504617990528,390.0531311035156,141.3302001953125,1005.7379760742188
77,1014.4921875041376,-117.30224979163256,434.54583740234375,142.1331329345703,1006.431884765625
78,1008.7625104972348,-36.4624839470976,516.0186767578125,136.18182373046875,982.6337890625
79,999.0273404074416,-35.52138894983901,514.2266235351562,133.17910766601562,973.6741333007812
80,993.0799763013632,-53.826383173433435,494.318115234375,129.10618591308594,973.9054565429688
81,901.651508815216,-180.62432736821978,345.3469543457031,92.33306884765625,921.8145141601562
82,928.5562815120151,-145.1211674698026,386.82855224609375,101.68394470214844,939.0415649414062
83,905.7621321175468,-82.3299369624053,444.2325744628906,96.18993377685547,903.0264282226562
84,901.0132561302752,-101.21076813039168,424.6852111816406,92.32337188720703,903.6695556640625
85,919.3210808465216,-103.7577492877817,426.3292541503906,98.46495819091797,921.1473388671875
86,1054.3838756736118,-17.107553895525676,548.709716796875,151.4410400390625,1017.576416015625
87,1063.5573588715079,-17.541997979632992,550.8246459960938,154.18051147460938,1025.9693603515625
88,1065.0161736180476,-12.929691900622194,556.0253295898438,154.8040313720703,1025.902587890625
89,1000.2155560990591,0.8734416967810399,548.7678833007812,144.294921875,961.98583984375
90,1010.1398984110119,-0.09110808248508806,551.326171875,145.7444305419922,971.3451538085938
91,1011.1285023130542,4.913374836456458,555.8162231445312,148.63851928710938,970.3220825195312
92,989.1127308518749,-2.7661323142572805,541.92626953125,140.3241424560547,953.2935791015625
93,987.866639499342,-7.316245877086449,537.5863037109375,137.96998596191406,953.8550415039062
94,997.8238754257454,-8.4408472815294,539.8890991210938,139.5083770751953,963.3047485351562
95,948.173497794956,-1.4109018699666858,528.8641967773438,133.6648712158203,915.76953125
96,950.6050295210491,7.9355270333678,536.6676635742188,139.73721313476562,914.5884399414062
97,931.3078257950056,11.72402361351689,532.4037475585938,139.11148071289062,895.8983764648438
98,949.4118138027987,97.91655785978182,577.3734741210938,214.36842346191406,883.4465942382812
99,947.7691971513497,88.23739329328704,574.6015014648438,204.92222595214844,885.0093994140625
100,966.4232988612504,104.90742586739844,585.1874389648438,224.7504425048828,895.9701538085938
101,1102.1849584636918,178.59783718486304,650.3889770507812,332.07806396484375,987.5172119140625
102,1103.5818067353387,176.38673396520795,651.9461669921875,330.0027770996094,989.0490112304688
103,1109.532576039755,176.97272298072667,653.7411499023438,331.6826477050781,994.6250610351562
104,1107.6672490512578,200.80199963876808,633.8103637695312,350.0571594238281,994.5734252929688
105,1101.4634695169716,199.81500062233638,633.0748291015625,349.08154296875,988.3904418945312
106,1104.150498488549,195.33432341481543,638.3353271484375,346.7685546875,990.1610107421875
107,1076.0362197561483,155.02604596617033,643.1665649414062,300.59918212890625,969.6762084960938
108,1088.6195826529784,155.92708184552455,648.6817626953125,304.3209228515625,980.4755859375
109,1086.7110932095934,160.67499814919805,648.2416381835938,309.1575622558594,977.135498046875
110,1097.6360809053197,175.84222659105822,649.9617919921875,328.2870788574219,983.5541381835938
111,1091.6904218563343,175.33023820375647,647.7982788085938,326.5342712402344,978.145751953125
112,1094.3044737596047,170.864875760439,650.2890625,322.1358947753906,981.30419921875
113,1063.1053844823225,182.63560045766116,631.8397827148438,327.78826904296875,951.9652709960938
114,1060.5819997893486,187.14589398074202,628.3929443359375,331.7731628417969,949.4010009765625
115,1049.3625187506427,186.80599639835026,623.1246948242188,328.45989990234375,939.8948974609375
116,1094.051058093075,213.77864677242968,615.9929809570312,354.1205749511719,984.462890625
117,1091.9320624379097,218.60108222010908,609.989990234375,355.0754089355469,983.6884155273438
118,1079.6001241113947,216.72723694557664,608.503173828125,353.7090148925781,971.3964233398438
119,1075.8103628671763,211.26837519199404,613.3707885742188,351.83905029296875,966.3491821289062
120,1070.0024938788285,210.7155775837238,612.1707153320312,350.9457092285156,960.6969604492188
121,1072.3991502596818,206.13229742706068,617.7481079101562,349.2603759765625,961.8876953125
122,1066.737966915407,205.71870592584065,616.2977905273438,348.2190246582031,956.4537353515625
123,918.4878459980263,442.3587726303094,346.3029479980469,393.1555480957031,820.8377075195312
124,918.0212283446626,406.73552051121146,381.9883728027344,391.6282653808594,820.701904296875
125,935.0698161208948,406.03460849872397,383.4718933105469,384.8748779296875,839.2183227539062
126,1165.7872429152246,138.4470588555124,658.9027099609375,304.8542785644531,1060.8426513671875
127,1165.3024511930203,140.22694382837253,659.4180908203125,306.4052429199219,1059.71337890625
128,1148.7552572961436,122.68913918631068,652.3570556640625,284.92413330078125,1050.3404541015625
129,1113.2422052234751,269.9226476679498,557.3802490234375,365.4423828125,1016.0541381835938
130,1108.8592872333302,284.3345886860676,538.7367553710938,367.7156982421875,1014.4005737304688
131,1084.3404905038215,279.4263368604958,538.711669921875,365.35394287109375,989.815185546875
132,1098.6805090082657,360.02951727387835,448.101318359375,375.7485046386719,1008.5494995117188
133,1098.061829331229,370.75265833312056,436.2889404296875,376.4298400878906,1008.052001953125
134,1073.9997087557633,364.0892134915733,442.27740478515625,373.5817565917969,984.0228271484375
135,1072.3360435921072,410.03452497941083,393.8119812011719,375.6629638671875,982.65966796875
136,1096.513040089673,408.9956505084469,395.87371826171875,378.1283874511719,1006.80908203125
137,1095.9669173336063,420.38117556328496,384.2753601074219,378.4354553222656,1006.5833740234375
138,1094.6352431682678,449.09859094964975,355.3847351074219,378.8507385253906,1006.275390625
139,1094.2663530004174,458.38264665546404,346.0909729003906,378.8783264160156,1006.2532958984375
140,1047.0053101140402,408.68451112966295,393.3935241699219,373.0054931640625,957.1727294921875
141,1100.2705522864699,334.8437422752349,476.5985412597656,373.7590026855469,1010.0004272460938
142,1121.812555606753,244.4462759089426,589.3731689453125,361.0596618652344,1019.2282104492188
143,1126.9225624047733,204.96518979927447,634.6740112304688,352.6340637207031,1014.0838012695312
144,1137.933462566703,205.77653540769597,636.9906005859375,353.25567626953125,1024.945068359375
145,1131.442727858623,221.3901867313028,618.499755859375,356.5499267578125,1022.4749145507812
146,1140.2690688169655,200.13564920181506,643.410400390625,351.9222717285156,1025.9781494140625
147,1137.9120814013584,196.84286418065287,646.0029296875,350.493896484375,1023.0680541992188
148,1141.3316775871888,197.8411101438951,645.92822265625,351.1445007324219,1026.575927734375
149,1139.1613146431444,194.32301788036153,648.688232421875,349.37176513671875,1023.8977661132812
150,1142.423034557839,195.60519286617958,648.3004760742188,350.2306823730469,1027.2730712890625
151,1140.4627675712989,191.80540483687946,651.2503662109375,348.07025146484375,1024.85791015625
152,1143.2979699226012,193.87597273843235,650.0721435546875,349.426025390625,1027.8841552734375
153,1141.803907327465,189.28185770556044,653.6744384765625,346.6034851074219,1025.93798828125
154,1145.2703893365979,190.09814873738233,653.71240234375,347.4050598144531,1029.4117431640625
155,1143.1574763421784,186.74991552824582,655.9446411132812,344.9820556640625,1027.130615234375
156,1145.88270344009,188.9411880840544,654.7550048828125,346.72186279296875,1029.9267578125
157,1144.5274698146868,184.20017691491577,658.0445556640625,343.2154846191406,1028.4285888671875
158,1148.0401278904214,184.85188742679932,658.1504516601562,344.0864562988281,1031.908935546875
159,1148.449003277814,184.08850251720972,658.7315673828125,343.55877685546875,1032.30517578125
160,1145.8843330123675,181.6362821639715,659.9559326171875,341.3132019042969,1029.824951171875
161,1149.7103552650751,181.62432807791106,660.4699096679688,341.8031005859375,1033.62255859375
162,1143.7102351756137,173.25326439361743,663.8016357421875,333.2729187011719,1028.529541015625
