sample_index,face_index,u,v,x,y,z
0,23646,28.68631727133976,-20.660863647933773,11.018052492296668,-14.427358311716059,-20.202435096159874
1,14234,-16.584000539602897,24.96178879480027,-4.097854444836166,18.74451714835708,-61.954535450919465
2,6815,20.226542151193115,-12.235786650062128,-16.79914791019127,-8.120109621427082,-20.196204389965047
3,17800,26.865278052642445,26.21904862453051,2.273818488161834,18.15779118746345,-19.414642393326318
4,14798,13.246841115196174,25.853751380900654,-3.3744688460945387,18.390843599057966,-31.536702357038152
5,12369,30.060178064810266,25.679387616661803,-3.996162125769831,17.901344364889134,-14.239721862973184
6,14834,30.101684834670507,-25.330584238525308,-5.755961099825102,-17.411905804294403,-13.233450153283158
7,24221,46.51872282184815,6.666767140509042,17.83174741677598,4.274553630097226,-5.028807628704092
8,14239,-15.146438081697461,25.021668802519656,-4.210461425955995,18.71718779440017,-60.50277036180351
9,18699,32.89228460724944,-26.17865240034383,3.368244042760262,-18.025969730859792,-13.475241382659174
10,1657,8.940332199243144,-6.199902396019139,-19.665872452250795,-4.047374475820727,-31.142475259661396
11,14662,-37.25968470284371,25.485568238681495,-4.988698234843781,17.812274325741488,-82.28730729171495
12,17327,42.44958859364731,25.247904981825222,6.964934183615697,16.96112471300691,-5.375969969368965
13,11183,-50.1870199988472,-12.052702681347156,-13.591285519400966,-8.223837326480897,-88.31336589535522
14,30579,21.062791196796987,-0.4778383915739955,17.08040174991612,-0.5551261341283472,-29.727309935091654
15,23433,-34.199398754418375,-17.037895347670013,7.830917649060865,-15.034365102604863,-82.76054567400672
16,22447,-11.251512971641933,-14.556530209480794,4.548699153503294,-10.819491067986927,-59.424719841252504
17,1148,3.5463108559944794,-4.429969118315589,-20.724446976282152,-2.8472418716026224,-36.377001704862955
18,1666,-8.106886844850264,-12.06317703428247,-20.96253877544344,-8.567735895654645,-48.13133302045601
19,298,-23.791481066108997,5.8961336627080145,-22.455754603357747,4.233746922253215,-63.208946311430196
20,8766,-37.04914718430182,-17.163442941168036,-18.875922585532802,-12.920293946219704,-77.30435444159244
21,6481,23.858737073753456,17.40969168324558,-13.71022738494803,12.387167180723281,-17.54979304842405
22,7201,39.925849430015596,14.308377731660864,-15.011613552353435,10.731637666555732,-0.5714510530294322
23,30175,12.64609761792147,-13.183681556753067,12.473199502016325,-9.723889390965017,-36.64317256191815
24,9325,-28.9452849779348,24.619104202268804,-11.75872509266065,17.479095337482303,-72.02496485849178
25,15860,41.05981668723086,26.366899417514254,4.108552219177737,17.87181054999728,-5.783266516033309
26,11297,-14.812359366074373,25.394893034215002,-8.026779116968886,18.588429327646065,-58.94047296214182
27,11552,-31.315580244343195,-24.52873471905988,-8.350495769648086,-17.91075842090857,-75.10949691206073
28,20846,-4.185655122469676,21.071637400346845,3.0970914539651164,14.916331423095855,-51.50893392113239
29,24438,-7.414230529013563,12.338482127871023,6.1270475301681335,8.26092219005173,-56.17306672388336
30,23180,29.54806542501537,-21.49856986094903,10.463536232203019,-14.89031389276376,-19.124984692256934
31,6298,-28.81655137745828,21.179272731606865,-17.414317354407412,16.20889849138368,-70.27624883076174
32,14233,-18.20579156647153,24.65471975381909,-3.1427288328425824,18.782368867902083,-63.912922680152434
33,10200,-48.02045944037357,-11.761221938998988,-14.804482804586229,-8.048205851523766,-86.28402011439024
34,62,-15.162550259827036,0.4201043358685608,-22.93334443230943,0.38791149955609944,-54.65661704262254
35,10967,30.71788680772161,24.445652192879216,-6.707663220902457,17.068118791817668,-12.633698659506434
36,24835,-28.997599753397655,-6.637011047001096,7.170984074167244,-5.5657981418378135,-79.59745156123074
37,9837,-13.468312083888296,25.014849185726646,-10.488034468443988,18.26660245948713,-56.849561280178705
38,19304,-0.8918064480258353,-23.828916021235457,-0.758071555635336,-17.636607272125605,-46.50713889218147
39,432,-7.326331899288215,-3.605157235465529,-22.229195779502852,-2.381367656962197,-46.971671901126655
40,15884,-3.424572745097054,-24.685345198841695,-3.8918404834109945,-18.43711239509546,-48.2308810038282
