global_point_id,trajectory_id,trajectory_type,point_id,surface_x,surface_y,surface_z,surface_u,surface_v,normal_x,normal_y,normal_z,nozzle_x,nozzle_y,nozzle_z,spray_dir_x,spray_dir_y,spray_dir_z,qx,qy,qz,qw,speed,cumulative_time,spray_on
0,1,spray,0,-0.0952613547122248,-0.004082701045419281,-0.26545192224681036,0.095575945531,0.021207347726,0.09525361250698532,-0.08411218679061598,0.991893083622257,-7.742205239483213e-06,-0.08819488783603527,0.7264411613754467,-0.09525361250698532,0.08411218679061598,-0.991893083622257,0.7118363584330201,0.6994537444491563,-0.004504458961091865,-0.06350722823694453,50.0,0.0,1
1,1,spray,1,-0.07429958160887701,0.0055709516913192095,-0.26755142657411124,0.076460301703,0.024758488537,0.07679116941626304,0.13894018586023604,0.9873189662175067,0.0024915878073860365,0.14451113755155526,0.7197675396433955,-0.07679116941626304,-0.13894018586023604,-0.9873189662175067,0.7075298577327933,0.7021830128430667,-0.07643135604630227,0.02233304063870598,50.0,0.004656302315323799,1
2,2,transition,0,-0.07429958160887701,0.0055709516913192095,-0.26755142657411124,0.076460301703,0.024758488537,0.07679116941626304,0.13894018586023604,0.9873189662175067,0.0024915878073860365,0.14451113755155526,0.7197675396433955,-0.07679116941626304,-0.13894018586023604,-0.9873189662175067,0.9487386619050191,-0.3058666940276878,-0.015275643476207627,0.07814839478603842,50.0,0.004656302315323799,0
3,2,transition,1,-0.06230090718950912,0.007804663535906431,-0.2690285644095651,0.065217453053,0.024709549914,0.21804745847883628,0.023488732891681297,0.9756554644330464,0.15574655128932716,0.03129339642758773,0.7066269000234813,-0.21804745847883628,-0.0234887328916813,-0.9756554644330464,0.9437277663084203,-0.31177818287212267,-0.10044978492111402,0.04563012703005271,50.0,0.008476146141800756,0
4,3,spray,0,-0.06230090718950912,0.007804663535906431,-0.2690285644095651,0.065217453053,0.024709549914,0.21804745847883628,0.023488732891681297,0.9756554644330464,0.15574655128932716,0.03129339642758773,0.7066269000234813,-0.21804745847883628,-0.0234887328916813,-0.9756554644330464,0.526471812124312,-0.8430036555407493,-0.048082651359459924,0.09929917633959226,50.0,0.008476146141800756,1
5,3,spray,1,-0.09729354736963831,-0.007930377217715624,-0.26566039665067903,0.096346124218,0.018926731633,0.14740774202327486,-0.17182492136876637,0.9740365260031151,0.05011419465363655,-0.17975529858648198,0.708376129352436,-0.14740774202327486,0.17182492136876637,-0.974036526003115,0.5175346062002928,-0.8480425663766326,-0.11246167539433428,0.01827863687318868,50.0,0.01319643453293945,1
6,4,transition,0,-0.09729354736963831,-0.007930377217715624,-0.26566039665067903,0.096346124218,0.018926731633,0.14740774202327486,-0.17182492136876637,0.9740365260031151,0.05011419465363655,-0.17975529858648198,0.708376129352436,-0.14740774202327486,0.17182492136876637,-0.974036526003115,0.7769921427800645,-0.6191134573400918,-0.11190967114987065,-0.021400058447824864,50.0,0.01319643453293945,0
7,4,transition,1,-0.09828630451693822,-0.011096033507080199,-0.2657535366863761,0.096441122385,0.016771544803,0.17505627461338347,-0.295334287910378,0.9392193349281911,0.07676997009644525,-0.30643032141745824,0.6734657982418151,-0.17505627461338347,0.295334287910378,-0.9392193349281912,0.7679884749923436,-0.6162818914612289,-0.16318441614375423,-0.06132845068747865,50.0,0.015877913452635742,0
8,5,spray,0,-0.09828630451693822,-0.011096033507080199,-0.2657535366863761,0.096441122385,0.016771544803,0.17505627461338347,-0.295334287910378,0.9392193349281911,0.07676997009644525,-0.30643032141745824,0.6734657982418151,-0.17505627461338347,0.295334287910378,-0.9392193349281912,0.9445450939216693,0.2782880396506477,-0.04288351700307081,-0.16897140736039273,50.0,0.015877913452635742,1
9,5,spray,1,-0.05019613799461581,0.009044597917466526,-0.2717062951709184,0.053974604403,0.02466061129,0.4513542711922176,-0.08044777427658634,0.8887111327593942,0.4011581331976018,-0.07140317635911982,0.6170048375884758,-0.4513542711922176,0.08044777427658634,-0.8887111327593942,0.923030121098168,0.30392591519184153,-0.20763547022758405,-0.1119461706521173,50.0,0.02396872995907843,1
