trajectory_index,u,v,x,y,z
0,48.906169106499,-22.37849143404,10.978597438294969,-14.715285114473934,0.05410603570687078
1,48.90390535485038,-21.694422827104425,11.615130418647688,-14.222045765574519,-0.1870344106606372
2,48.90164160320176,-21.01035422016885,12.235819328986207,-13.725411583288125,-0.4212139961439634
3,48.89937785155313,-20.326285613233274,12.67895689760776,-13.261838901200132,-0.5890133038973615
4,48.89711409990451,-19.6422170062977,13.168188911944588,-12.785655437408794,-0.778361687852213
5,48.89485034825589,-18.958148399362123,13.595721880935878,-12.318324493052618,-0.941028744420926
6,48.89258659660727,-18.274079792426548,14.008140432046972,-11.834684816497914,-1.0916791492452176
7,48.89032284495865,-17.590011185490972,14.391337875232583,-11.37550364512019,-1.2385810632616705
8,48.888059093310034,-16.905942578555397,14.743124134178954,-10.920665866438062,-1.3766846937569148
9,48.88579534166141,-16.22187397161982,15.082015797319926,-10.462789247768823,-1.5087807457899118
10,48.88353159001279,-15.537805364684242,15.371634816982995,-10.018628607320139,-1.6299073653162774
11,48.88126783836417,-14.853736757748669,15.633652111066008,-9.580639817814568,-1.7427559081428288
12,48.87900408671555,-14.169668150813092,15.891453196409104,-9.136850254804601,-1.8453503331911787
13,48.87674033506693,-13.485599543877518,16.115606061839912,-8.69857314721696,-1.9450994685489662
14,48.8744765834183,-12.80153093694194,16.33456112608818,-8.257129683349085,-2.0405393849003532
15,48.87221283176968,-12.117462330006365,16.548793117780846,-7.805375244171604,-2.133338242865108
16,48.86994908012106,-11.43339372307079,16.74244981643697,-7.376805395700541,-2.2051858363699126
17,48.86768532847244,-10.749325116135214,16.937999465230245,-6.932767801607411,-2.295910602453725
18,48.86542157682382,-10.065256509199639,17.127630073738896,-6.493280596759288,-2.3749251138279064
19,48.8631578251752,-9.381187902264061,17.291553470041293,-6.052251796159731,-2.4365934265448566
20,48.86089407352657,-8.697119295328486,17.42842137276749,-5.620246346035583,-2.493888565069373
21,48.85863032187795,-8.013050688392912,17.576508088571792,-5.183648086117346,-2.5510733352416124
22,48.85636657022933,-7.328982081457337,17.707990400621107,-4.754713396391712,-2.60567817381079
23,48.854102818580714,-6.6449134745217595,17.81690618830012,-4.329233955058467,-2.657680640392365
24,48.851839066932094,-5.960844867586182,17.930603135576106,-3.9012954696699085,-2.6993177618262507
25,48.84957531528347,-5.27677626065061,18.008602821401343,-3.4780784586906033,-2.7303338775797314
26,48.84731156363485,-4.592707653715035,18.08797529997506,-3.0489073136024327,-2.7577885350741282
27,48.84504781198623,-3.908639046779456,18.16822614056617,-2.613974259905081,-2.787510708278994
28,48.84278406033761,-3.2245704398438804,18.22014417377859,-2.1721861216146365,-2.806603420294525
29,48.84052030868899,-2.540501832908305,18.24920540710212,-1.7348938148781627,-2.8274030950844624
30,48.83825655704037,-1.8564332259727294,18.294231447241167,-1.2896277197664738,-2.8431525825305357
31,48.83599280539174,-1.172364619037154,18.3234148779224,-0.8460947113093197,-2.853001598620282
32,48.83372905374312,-0.48829601210157847,18.330169400708588,-0.40535016621764364,-2.8529203016774747
33,48.8314653020945,0.195772594833997,18.32847134327155,0.03780572874433523,-2.8547113616330457
34,48.82920155044588,0.8798412017695725,18.317177080124555,0.4836209087522524,-2.850434000008028
35,48.82693779879726,1.563909808705148,18.294161985869874,0.9324558299713973,-2.8540413475590722
36,48.82467404714863,2.2479784156407234,18.279786044107606,1.3683382802262332,-2.8502567260101586
37,48.82241029550001,2.932047022576299,18.243514636927383,1.8087145692608468,-2.845962246577927
38,48.82014654385139,3.616115629511878,18.194269897574653,2.2556595512760658,-2.834345313381219
39,48.817882792202774,4.300184236447453,18.12666537326743,2.7063037770806115,-2.821473732231991
40,48.815619040554154,4.984252843383029,18.05723825431481,3.148990055574005,-2.7995716491099105
41,48.813355288905534,5.668321450318604,17.969438459213276,3.5880282721154204,-2.7824613565244762
42,48.81109153725691,6.352390057254176,17.858823076746706,4.030294126892341,-2.746851247983755
43,48.80882778560829,7.036458664189752,17.761578789010542,4.473912929025814,-2.7091407197822273
44,48.80656403395967,7.720527271125327,17.654704208140252,4.916420586233256,-2.673519834950219
45,48.80430028231105,8.404595878060903,17.519069463887345,5.352465745089077,-2.627477957881838
46,48.80203653066243,9.088664484996482,17.371753818022402,5.775239884994919,-2.591533983646199
47,48.7997727790138,9.77273309193206,17.214399992445017,6.210197868229862,-2.541101514046874
48,48.79750902736518,10.456801698867636,17.050165014483824,6.660133317462738,-2.485265350862581
49,48.79524527571656,11.140870305803212,16.87345326286593,7.097362689528253,-2.431974067864007
50,48.79298152406794,11.82493891273878,16.691741638052182,7.539237328048254,-2.3776096572507974
51,48.79071777241932,12.509007519674356,16.47389768860772,7.980733349164755,-2.3167348876568505
52,48.7884540207707,13.193076126609931,16.263499494285217,8.424828887965315,-2.2538748117086604
53,48.78619026912207,13.877144733545506,16.04878096441403,8.869125205922861,-2.190052873717399
54,48.78392651747345,14.561213340481089,15.764136677925231,9.33028217108884,-2.1116222587198537
55,48.781662765824834,15.245281947416665,15.462907175268835,9.788215743668601,-2.0196979761037506
56,48.779399014176214,15.92935055435224,15.15918034173851,10.248844552937546,-1.9289919953126005
57,48.777135262527594,16.613419161287815,14.820282012459394,10.711362751603568,-1.8180442542666375
58,48.77487151087897,17.29748776822339,14.454269181184225,11.17479660382388,-1.6982467528896654
59,48.77260775923035,17.981556375158966,14.086718975116352,11.642874595026084,-1.5723573544609843
60,48.77034400758173,18.665624982094542,13.710482954486523,12.112725315640441,-1.441671910802551
61,48.76808025593311,19.349693589030117,13.270461642705754,12.591959627609866,-1.2794623267212661
62,48.76581650428449,20.033762195965693,12.843995665834214,13.075443220206829,-1.1240327190758999
63,48.76355275263587,20.71783080290127,12.33603331789968,13.566689065142183,-0.9308138863719158
64,48.76128900098724,21.401899409836844,11.805391741780387,14.046296988361563,-0.7279223025677073
65,48.75902524933862,22.08596801677242,11.269592924547183,14.535008658433002,-0.5273402314621539
66,48.75676149769,22.770036623708,10.62904313057331,15.022127600354269,-0.2786020986147355
67,48.36011426658486,23.318787880808426,9.913683428790108,15.431407263427554,-0.4162094029414444
68,47.96346703547972,23.867539137908857,9.285438410544577,15.825702993486686,-0.585466112877825
69,47.566819804374575,24.416290395009284,8.498055906195566,16.23618426885456,-0.707765301254294
70,47.170172573269426,24.965041652109715,7.58286046805395,16.661338739940955,-0.7902966663036155
71,46.773525342164284,25.513792909210142,6.426344370742055,17.12601508776021,-0.7929538074453908
72,46.37687811105914,26.062544166310573,5.070788658480608,17.61721512671747,-0.7295466468157427
73,45.980230879954,26.611295423411,3.492832421040452,18.119571130243752,-0.5881234410007481
74,45.982515061641465,25.9210531939337,4.996178567972777,17.49397135148144,-1.1126037761392737
75,45.984799243328936,25.230810964456403,6.336273025593782,16.894693583659553,-1.5772738933604762
76,45.9870834250164,24.540568734979104,8.259317107681172,16.28976700618668,-2.2571184784707343
77,45.98936760670387,23.850326505501805,9.244976492071272,15.762855250186496,-2.612945524275264
78,45.99165178839134,23.160084276024506,10.071677845847937,15.270333742822816,-2.9049074670715047
79,45.9939359700788,22.469842046547207,10.77113961053565,14.779337024690436,-3.162658303765238
80,45.99622015176627,21.779599817069908,11.397604752127075,14.287529031641842,-3.3919233591248332
81,45.99850433345374,21.08935758759261,11.998067319017121,13.801703265688673,-3.599150457921784
82,46.00078851514121,20.399115358115314,12.527261388393294,13.321291819136855,-3.7810394863608554
83,46.003072696828674,19.708873128638015,13.005302379837381,12.844974374864915,-3.9376882378033433
84,46.005356878516146,19.018630899160716,13.4702783036382,12.369971754837586,-4.092577265534112
85,46.00764106020361,18.328388669683417,13.882436208483103,11.90251580574118,-4.227651706488792
86,46.009925241891075,17.638146440206118,14.271289146845794,11.437173608156916,-4.359069210568958
87,46.01220942357855,16.94790421072882,14.638257678615552,10.968060536316568,-4.486707193219097
88,46.01449360526601,16.25766198125152,14.981081474456593,10.505379947946818,-4.593710045113995
89,46.01677778695348,15.56741975177422,15.291420503687988,10.04192733896665,-4.686491406083682
90,46.01906196864095,14.877177522296924,15.590953088011554,9.572669028106217,-4.779687746806465
91,46.02134615032841,14.186935292819625,15.853282857338682,9.11260280929004,-4.866863480445172
92,46.023630332015884,13.496693063342326,16.129290900179452,8.65265469540512,-4.95349641929735
93,46.02591451370335,12.806450833865028,16.354329902654378,8.203408746908192,-5.020036776592654
94,46.02819869539082,12.11620860438773,16.568536831864147,7.755739630363148,-5.082246651685123
95,46.030482877078285,11.42596637491043,16.776462965860294,7.29630354549373,-5.1544412992330475
96,46.03276705876576,10.735724145433132,16.964163889338632,6.854341327059428,-5.204199974871013
97,46.03505124045322,10.045481915955833,17.14096902409299,6.416070914140428,-5.2645916807242
98,46.037335422140686,9.355239686478534,17.30268795648318,5.9813406517837056,-5.305100922205658
99,46.03961960382816,8.664997457001235,17.459208966108577,5.538024797524838,-5.350029500714112
100,46.04190378551562,7.974755227523936,17.58916216530878,5.094933653983138,-5.388700431280447
101,46.044187967203094,7.284512998046637,17.70099625161511,4.660665130511941,-5.415861424570961
102,46.04647214889056,6.594270768569338,17.812701620110392,4.207196040628847,-5.461767211304512
103,46.04875633057802,5.904028539092039,17.911009648541288,3.7491208632009463,-5.4911958369303875
104,46.051040512265494,5.21378630961474,17.99482083941466,3.301171933173854,-5.513761514801425
105,46.05332469395296,4.523544080137441,18.081725923836096,2.841436879707379,-5.5324280849657415
106,46.05560887564043,3.8333018506601455,18.142336081586212,2.390127684368878,-5.54369670219938
107,46.057893057327895,3.1430596211828465,18.193147571433045,1.9389151127951993,-5.542438129767693
