sample_index,face_index,u,v,x,y,z
0,49,-50.17423226976306,-134.64950446824983,-94.51914837981606,217.30673852600867,-31.24273809544252
1,31,-112.58991118549285,81.78159624660643,-5.629644692767458,260.0278941699283,99.44552880248229
2,15,87.97532818027936,112.63698579712386,99.76919703983094,128.8396443232025,2.3433835077596545
3,38,-143.56653704909883,-5.29916611192156,-66.63109660248742,119.21602824261528,74.0587028218215
4,32,-116.63629564530243,88.71638697169782,-4.64153175594286,49.409440245691215,99.542849360575
5,27,-83.83442260786103,109.32627821331371,21.500782580834574,293.01886339871123,97.47433870259617
6,32,-119.85714196163148,86.16594525130076,-7.436406518239439,2.960998036135091,99.26757842591843
7,51,-32.47586358138897,-139.7168564920357,-89.20588612916929,174.77106001354701,-44.221569582059765
8,31,-113.41696148694562,92.24308781831793,-0.9630702974560994,53.696539319977205,99.90514592478452
9,40,-143.2666373798862,-25.711000102051518,-77.60202447297682,28.754334262089078,62.31354501507543
10,4,134.8838148295124,-33.688069738894505,41.95437834810898,30.20028265919864,-90.41772571760313
11,32,-124.25334873840224,77.61071147722691,-13.869418985500431,41.30055048957274,98.63398246719814
12,37,-141.77966175580465,4.824838013692696,-60.02492131713787,200.65626475097326,79.48024867854103
13,25,-47.515410290665635,137.6299968496389,52.327072467477294,67.35489121120739,84.8734023344092
14,63,115.80420511085245,-84.28610905249428,6.2011268463356215,165.1567137197607,-99.38924276466963
15,49,-56.368239921769714,-132.3773511022216,-95.86875884306362,226.79118655067117,-26.79366928466007
16,47,-90.21520963224174,-109.98801111456659,-99.92839513073552,137.55700422174633,-0.7270169740750233
17,3,140.7068227173277,-35.18282943094194,43.881983806948426,224.44355732923742,-89.38739860142414
18,4,139.2310561914611,-25.696260637644723,48.10670075793277,101.6748955532967,-87.12923917734727
19,0,125.36589742682237,-71.0767095254306,18.110984016923517,191.02096636418767,-98.21622508273231
20,19,39.843044512908165,135.47360118370923,90.43690364964282,273.49276668269795,41.91849897940325
21,14,91.4531949589498,109.7039352327186,99.61558670180143,5.659104354001272,-3.903016592604222
22,15,85.267843304695,113.8084764050951,99.17655573186991,292.2710038734905,8.360576121215532
23,63,109.03357052721621,-86.084855667062,2.228262699794882,39.79416499907067,-99.78053544140599
24,20,19.490462281544524,143.41726078697414,85.46567710361838,55.216781597097295,51.21900488356825
25,34,-136.5144339019973,44.12338153598429,-37.323400132485176,122.64786090080365,92.67459945111074
26,25,-46.33007808310141,138.25076173404872,53.604236458818576,48.30015267457473,84.19074360564706
27,26,-68.41813639041304,129.0305797749541,38.6901396642723,55.23177284908806,92.16249854661471
28,44,-125.08289422519478,-71.91385043971998,-94.22176413765152,45.35549333709154,32.22308241898067
29,51,-44.63373135369917,-133.81280102919146,-92.29722366530848,46.33905137527587,-38.43808682575244
30,48,-69.429618515612,-124.55214244411457,-98.10430469080305,116.5328028469285,-19.247331663578116
31,14,101.71184479128704,100.48969494468419,98.6841767671599,14.428035482732085,-13.359787329876156
32,31,-110.5058890513338,81.27518583930878,-5.51523773010876,297.00457738151874,99.45679689648317
33,22,-1.8685817143031815,145.53380039528136,76.99691304664523,48.13172898373532,63.050875705465145
34,0,122.50319165564429,-71.3121628107897,16.31330587180662,114.93502571490619,-98.39328079552978
35,24,-39.070911022879926,135.60883326672703,55.64289552907689,212.08387605803782,83.07648291834187
36,52,-20.450822823863426,-139.8064680087966,-84.4081465402395,70.17342400831129,-53.19750438615195
37,21,10.63535879500894,141.96092926600966,80.83205622187646,180.51469023285964,58.37773842514713
38,41,-131.87655730201695,-52.98667050679718,-86.30810446958657,259.47805662534313,49.64293495022693
39,1,135.06599712165556,-54.00359938001247,31.131347567857524,237.11452460909868,-94.5529383318103
40,34,-130.76737351512585,66.252269470893,-22.705553942940217,39.00457582958184,97.10887525276635
41,19,30.58428787127524,138.7297344064809,88.00089841695547,200.62825897715473,46.475941863856775
42,40,-139.6183946011933,-36.995413867546496,-82.0113089594142,88.07035202778476,56.94081425337294
43,30,-103.47167845047274,98.12236988541433,6.574430749957692,156.61931155548228,99.35247556642258
44,59,66.93477770856376,-122.87962541863752,-36.52391712743045,51.14015687482946,-92.91712000421964
45,60,75.02146539645297,-120.09964073524914,-30.965949910889318,109.60030047724493,-94.60311116975335
46,40,-136.09253447480253,-39.21292561251679,-81.16548610515679,242.12369525737745,57.971452780326224
