vertex_index,x,y,z,geodesic_distance
100,-224.4558411,-39.80559158,209.383316,183.1119422
101,-222.2332306,-27.90418243,255.9250336,183.00746
102,-219.3939209,-16.33858681,302.4666748,182.8860637
103,-213.7886963,37.96747208,349.0083313,182.6921025
104,-215.1390076,27.24468803,349.0083313,182.7058046
105,-215.9530945,16.46792984,349.0083008,182.7200649
106,-216.2289734,5.663991451,349.0083313,182.7349217
107,-215.9660797,-5.140244484,349.0083008,182.7504186
108,-230.1160431,-53.19318008,116.3000107,183.2441663
109,-226.9473877,-64.48131561,116.2999649,183.2681601
110,-226.9053192,-64.6175766,77.53336334,183.2935452
111,-211.9056854,48.60961533,349.0083313,182.6789239
112,-223.1259155,-75.86665344,38.76664734,183.3332002
113,-209.4944458,59.14464569,349.0083313,182.6662376
114,-218.790329,-86.91334534,4.221864219e-05,183.3636884
115,-218.790329,97.98163605,4.221864219e-05,183.0670584
116,-218.7904053,97.98163605,38.76665115,183.0616681
117,-218.79039,97.98163605,77.53333282,183.0455286
118,-223.0771027,87.06891632,116.3000031,183.0300565
119,-223.1224976,86.93382263,116.3000259,183.0301996
120,-222.8028717,74.56699371,162.8416595,182.9962307
121,-218.7424622,73.31183624,209.3833008,182.9338123
122,-214.6819458,72.05670929,255.9250336,182.8552889
123,-210.6215363,70.80155945,302.4666748,182.7614291
124,-206.561142,69.5464325,349.0083313,182.6540163
125,-222.8853912,-63.23102188,162.8416748,183.2231886
126,-221.9161072,-50.96340179,209.3833313,183.1353264
127,-220.2895508,-38.96596909,255.9250641,183.0291407
128,-218.0303345,-27.27326775,302.4666748,182.9053454
129,-215.1648102,-15.91795635,349.0083618,182.7666033
130,-207.7404022,47.76498795,395.5500183,182.558213
131,-209.5865479,37.3315239,395.5500183,182.5695646
132,-210.9103546,26.81899071,395.5500183,182.5811682
133,-211.7085114,16.25353241,395.5499878,182.5930549
134,-211.9789429,5.661458492,395.5500183,182.6052586
135,-211.7211914,-4.930942535,395.5499878,182.617818
136,-226.9020233,-64.61647034,116.2999954,183.2684576
137,-223.1746063,-75.7326355,116.2999573,183.2934486
138,-223.125885,-75.86665344,77.5333252,183.3185695
139,-205.3764648,58.0934906,395.5500488,182.5470853
140,-218.7904053,-86.91334534,38.76665115,183.358941
141,-202.5007324,68.29124451,395.5499878,182.5361566
142,-213.9097137,-97.73018646,-5.021048128e-05,183.3902332
143,-213.9097137,108.7984772,-5.021048128e-05,183.0568736
144,-213.9095917,108.7984772,38.76670074,183.0514482
145,-213.9095764,108.7984772,77.5333786,183.0352082
146,-218.7349396,98.11299896,116.2999802,183.0186147
147,-218.7871246,97.98035431,116.3000107,183.0187461
148,-219.084198,85.61295319,162.8416748,182.9836529
149,-215.0914154,84.15695953,209.3833313,182.9211245
150,-211.0986481,82.7009964,255.9250031,182.8426291
151,-207.1057587,81.24500275,302.4666748,182.7490378
152,-203.1129608,79.78903961,349.0083313,182.6422356
153,-199.1201019,78.33305359,395.5500488,182.525403
154,-219.1799927,-74.28145599,162.8417053,183.2487918
155,-218.8234863,-61.98078156,209.3833008,183.1598322
156,-217.796936,-49.91716003,255.9250336,183.0519177
157,-216.1233215,-38.12637711,302.4666748,182.9256027
158,-213.8274231,-26.64232254,349.0083008,182.7835298
159,-210.9356995,-15.49735641,395.5500183,182.6307753
160,-201.2585602,57.04227066,442.0916443,182.4216232
161,-203.5752106,46.92039108,442.0916748,182.4306615
162,-205.3843994,36.6955719,442.0916748,182.4395987
163,-206.6816711,26.3933239,442.0916748,182.4484529
164,-207.4639282,16.03916359,442.0916443,182.4572434
165,-207.7290192,5.658895493,442.0916443,182.4659909
166,-207.4763336,-4.721641064,442.0916748,182.474718
167,-223.1226196,-75.8653717,116.3000031,183.2937582
168,-218.8457642,-86.78192139,116.2999954,183.3197478
169,-218.79039,-86.91334534,77.53333282,183.344548
