point_index,u,v,x,y,z,source_geodesic_distance
42055,0.7205966393,0.559229013,203.4138678,436.4631794,102.4824327,472.0495774
42056,0.7175168917,0.56394585,197.4906939,431.7370056,104.6087339,472.2772456
42057,0.7196123625,0.5607548479,200.3595876,434.0261314,106.6882997,472.1194193
42058,0.7163266062,0.5657859894,194.1168601,429.0449817,108.7240561,472.3625093
42059,0.7212264004,0.5583096141,201.769586,435.1511866,110.7186952,471.9958425
42060,0.7177996366,0.5635557955,195.3140292,430.0002178,112.6745703,472.2495031
42061,0.7199985271,0.5602059371,198.4110829,432.4713953,114.5938922,472.0841052
42062,0.7163843066,0.5657381771,191.661051,427.0854612,116.4786078,472.3517895
42063,0.7238405225,0.5543549151,203.6962102,436.6884639,118.3305676,471.7947976
42064,0.7201352744,0.5600259103,196.8128529,431.1961478,120.1513659,472.069316
42065,0.7224716599,0.5564652964,200.1852764,433.8870463,121.9425678,471.8937814
42066,0.7185921219,0.5624023011,193.0253827,428.1740784,123.70554,472.1813316
42067,0.7241385653,0.5539365175,201.8599116,435.2232585,125.4416169,471.7667062
42068,0.7305908551,0.5404320253,271.079961,471.5597425,94.74399543,470.2780145
42069,0.7302697151,0.540993164,270.6354126,471.4135335,92.20251659,470.320194
42070,0.7212730525,0.5557494683,270.329341,471.3128846,29.19684594,471.1888714
42071,0.7205293114,0.5569840681,269.9844361,471.189201,24.10339965,471.2649393
42072,0.7217636086,0.5550222498,268.0010942,470.4424887,34.42784824,471.1612916
42073,0.7228484501,0.5532297057,268.5398051,470.6453064,41.53623209,471.0535705
42074,0.7232944586,0.5525919086,265.4468298,469.4808288,47.31418595,471.0334293
42075,0.7244195332,0.5506503738,268.7632689,470.7294356,52.31031408,470.9016229
42076,0.7246090644,0.5504491527,265.1156543,469.3561418,56.7758213,470.9100617
42077,0.7253727067,0.5491550852,266.5730367,469.9048315,60.85068219,470.8263801
42078,0.7253759748,0.5492799283,262.2215788,468.2665476,64.62240263,470.8577679
42079,0.7268402792,0.5466496699,269.9911064,471.1917007,68.14998454,470.6610635
42080,0.7267481336,0.5469383863,265.3845212,469.4573638,71.47548943,470.703439
42081,0.7274676624,0.5456952894,267.5526427,470.2736404,74.6301029,470.6188003
42082,0.7272594046,0.5461912478,262.3742385,468.3240191,77.63775178,470.676451
42083,0.7284439193,0.5440644623,268.6291277,470.6789253,80.51722756,470.5175508
42084,0.7281566226,0.54470063,263.0903209,468.5936159,83.28365962,470.5853894
42085,0.7288568996,0.5434767464,265.6699258,469.5648122,85.94938533,470.4995951
42086,0.728482521,0.5442699825,259.6474276,467.2973976,88.52467554,470.5792894
42087,0.7300128399,0.5414797088,269.152152,470.8758363,91.01813413,470.3636278
42088,0.7295858511,0.5423664194,262.8848177,468.5162432,93.43712414,470.4501393
42089,0.7302928714,0.5411189221,265.8846004,469.6456326,95.78792441,470.3606388
