sample_index,source_index,u,v,x,y,z
365,454,0.4481406484,-0.1716771536,625.6965942,349.2437744,974.7785645
366,455,0.4464145155,-0.1673768951,627.5716553,351.092926,986.8374634
367,456,0.4421058189,-0.1551140116,628.2114868,351.913269,993.1271973
368,457,0.4314923934,-0.1928164113,610.8166504,356.233429,996.7385254
369,458,0.4400578989,-0.167545484,622.4375,353.4859314,991.8894043
370,459,0.4359918398,-0.1611870801,622.8103638,354.1235962,998.4413452
371,460,0.4374774814,-0.1617961956,622.9310303,355.2114258,1012.093018
372,461,0.4458738472,-0.1559005006,608.2509766,326.3729248,919.5890503
373,462,0.4412300197,-0.1614481689,604.9093018,330.474823,917.6004028
374,464,0.450122183,-0.1626576902,610.5101929,333.303833,926.3126831
375,466,0.4516260646,-0.1525692931,615.7044678,336.2091675,935.3164062
376,467,0.4528736778,-0.1508444688,618.1268921,337.6609497,939.96698
377,468,0.4544398577,-0.1260708224,629.0375366,338.6307983,956.8910522
378,469,0.4570497864,-0.1422219613,624.777771,338.865387,950.7129517
379,472,0.455328976,-0.1313942428,624.5895386,335.5851746,946.9595947
380,474,0.4469956337,-0.1394915054,622.1549072,334.0319519,942.1795654
381,475,0.4625985269,-0.1082415069,634.4053955,329.5184937,956.8988647
382,480,0.4620377673,-0.1346306254,632.861145,341.5451355,967.3856201
383,483,0.4525113761,-0.1428692971,634.5153809,342.9385376,972.8629761
384,487,0.453284145,-0.1393715537,635.9854126,344.2740479,978.4869995
385,490,0.4619187481,-0.1004625889,642.8257446,339.5859985,981.965332
386,491,0.4731974334,-0.06304619011,645.3168335,318.5082703,970.682373
387,492,0.4705055344,-0.0759027297,645.4660034,324.7536011,972.8364258
388,493,0.4654226727,-0.07920828325,642.9751587,322.949707,967.6233521
389,494,0.4592612911,-0.08094812555,637.559021,319.296936,957.4639893
390,495,0.4694079196,-0.08850909352,646.8093872,332.4074402,980.5495605
391,496,0.4704849785,-0.08167112565,644.7493286,330.6981812,975.1580811
392,497,0.4691332866,-0.07921764932,642.5189819,328.9603577,969.8774414
393,498,0.4728638501,-0.08813590506,640.1282959,327.1985779,964.7040405
394,499,0.4721141389,-0.04661751224,647.0932617,313.8996887,973.8615112
395,500,0.4743252417,-0.02420730551,636.8619385,292.0288696,962.0236206
396,502,0.4666672228,-0.03811249549,637.1079102,296.8542175,959.055603
397,503,0.4669619724,-0.04703156177,642.6098633,305.4415283,966.5072632
398,506,0.4781503569,-0.01459514216,642.772644,295.7859497,972.838623
399,507,0.4714714622,-0.01983302993,648.1341553,299.516449,983.800354
400,508,0.4692315395,0.006395719539,634.7368774,282.6359558,967.8095703
